#Accession	NCBI-taxid (-1 = withdrawn)
15040939	1262516
3294438	268746
11295073	1105286
16191495	1235824
1259324	205872
1450434	85618
14543629	1235314
15010052	754075
15012417	754046
8463143	642926
1442282	51677
1261839	75590
932313	88870
1449962	83191
16880826	1327968
3964761	10372
7902303	38420
8888119	318846
5076835	413066
14297552	947843
3289541	10372
15312429	573174
922223	46242
14006428	483266
2943578	38804
10352027	997821
14012160	1150991
11266367	180230
4213975	160844
14297173	1029988
1257774	198539
5950642	467481
15009955	756282
5896848	490103
14296322	1147043
1262025	10661
13996955	10732
7944119	576791
11294476	906669
11536571	1069378
16385222	948071
11266442	180230
2767835	263374
2949818	252602
15010882	754074
7057149	566270
7057086	566270
11541241	1109717
13520502	1206566
929682	103807
918261	10506
935003	154334
15011771	929832
5133099	320840
6921014	546806
922319	176106
7874835	490912
5237040	347327
5745450	384848
16193693	1273747
15926600	115992
15383000	1324794
11107139	252584
10618784	1026955
5220179	438482
5797416	451705
1461025	12657
921197	10397
13826658	1204524
9925782	762660
16880916	1327970
8684170	665032
1497196	33708
15957254	1282995
11117463	1054968
11467856	36343
16546631	1340830
5658973	46021
15312246	536474
5141878	1307957
5687467	386793
14006424	483266
15613264	10288
3416391	115991
16045527	754051
8303368	555387
5142393	128708
16193511	1273746
16214520	1327776
13997360	1204535
15012225	869662
5247217	447909
14016857	1217810
5309181	446529
1260346	181007
11294144	944969
13994069	1141136
3197158	262968
932194	10273
932473	10276
16489481	1367203
1461290	157924
984306	159252
1457170	97344
10324386	910475
919905	12345
14297486	981335
2943418	249151
1682485	10381
13997288	1204534
14011584	1136534
911742	35252
10328632	445686
7874785	490913
15613740	1293572
5179497	389214
1257589	173824
1261533	10679
962131	12295
10399691	999883
11447667	1100814
5076277	263004
15012408	754046
5141828	1307957
5470063	399781
16186362	1007869
8746324	694581
10021095	696472
14011139	1051673
5179545	419435
14013873	1137745
7701334	915426
16546550	1340821
17503286	434346
5839483	139871
2545760	75320
929384	179237
15012108	869662
13165326	1173135
5797455	451705
14011426	317878
11293802	883876
956636	12268
5076609	322855
5076734	356862
5179495	389214
5850484	490711
3772956	12336
1260342	181007
932206	10273
14011339	317878
5219964	245685
11464331	1535247
14182402	1147158
8673707	693894
5141794	328615
15926612	115992
2717176	139872
1725111	35254
921227	10397
10323700	260149
14340221	101850
922036	51313
6920909	546805
8684283	655098
13164969	1049283
10228749	979533
9295417	667093
14206516	1129191
13994949	1211640
2846007	269145
10326796	444860
10323018	279006
3192583	151599
13994044	1141136
8997336	707757
13827161	1177632
1494251	12353
14007546	936152
16880887	1327970
14007181	947980
956506	10991
5075738	11569
951278	114777
5983620	391228
11117650	1054461
9284676	747763
944468	674954
8303448	555387
11266313	310540
935822	190478
2672855	12402
949188	114430
1257936	198542
16275498	1173761
4555793	55511
13405844	1161906
5075635	10484
11107211	1076255
2948186	261939
956440	10879
10323879	910473
6804801	39420
2559608	242861
1260156	205879
9829327	10353
2949772	45455
3239036	10386
1259714	205877
5220055	390439
11537935	1109711
4606048	416419
4484274	315953
927314	35343
13229471	10359
13997511	1239384
9926360	709484
5601774	330397
11294718	331278
10100604	941765
9926007	760732
921800	70600
16215387	1327938
1724717	11709
15011681	929832
13828999	57477
15012421	754046
16199653	1300004
1259898	205877
16045363	754039
5176023	10455
14181813	1229755
14039053	1261657
9777817	889510
15013506	536466
10896936	934027
16207351	1315956
16194767	1273755
4818328	417280
15926637	115992
955874	106331
3197409	298338
16199658	1300004
10358968	881953
4239123	382359
3197311	294382
16254581	1173762
13828177	1604355
8684147	665032
929291	10834
4432054	270161
5247172	406340
14296989	1147137
16796728	1327976
15613946	1293540
5236347	425386
2943395	249151
14515754	1188795
6964574	560178
2732816	10702
15011147	754042
13564471	1104917
14013877	1137745
9398003	762905
5184166	359919
918534	37108
13827235	1177632
4594515	360398
11041083	699370
11605066	1129145
932726	151528
3192591	151599
14005993	760530
1461013	12657
2943640	38804
956016	120574
9398032	762905
955536	52979
8684239	686439
17426954	1385427
3239030	10386
6779519	551895
949350	192584
16213941	1327770
10172660	190065
1260125	205879
10329490	445688
918752	145579
2753516	230158
2700290	44088
9086713	754004
